X Gaze Data, Y Gaze Data, Time 
899,518,146479107
899,514,146479115
901,521,146479128
900,523,146479153
894,525,146479161
899,520,146479172
901,520,146479183
900,519,146479194
886,536,146479205
886,537,146479230
882,541,146479239
881,541,146479248
882,542,146479261
887,538,146479280
887,538,146479292
879,550,146479294
837,610,146479308
828,626,146479315
818,642,146479334
822,632,146479348
822,635,146479356
818,643,146479368
806,666,146479388
807,641,146479399
809,637,146479419
810,640,146479436
807,669,146479451
808,685,146479469
811,697,146479472
809,698,146479483
810,697,146479494
815,699,146479505
815,697,146479515
816,696,146479528
819,693,146479538
819,689,146479549
819,689,146479576
812,682,146479582
813,681,146479594
812,685,146479607
811,687,146479615
810,689,146479627
808,690,146479653
806,695,146479661
805,695,146479672
804,695,146479681
805,694,146479694
805,694,146479705
811,705,146479716
811,705,146479727
811,709,146479738
811,709,146479763
811,709,146479772
808,729,146479782
775,850,146479794
763,872,146479809
762,876,146479815
761,877,146479827
761,882,146479838
761,885,146479848
757,889,146479860
763,891,146479871
763,895,146479886
762,895,146479894
763,896,146479905
765,894,146479916
766,892,146479927
767,892,146479938
775,894,146479948
777,895,146479963
781,894,146479972
772,894,146479981
768,894,146479994
769,894,146480010
776,899,146480015
774,900,146480027
764,900,146480041
752,910,146480048
700,945,146480060
560,1063,146480072
543,1078,146480082
527,1092,146480094
456,1125,146480118
434,1139,146480126
432,1158,146480137
441,1161,146480149
450,1170,146480160
448,1169,146480171
447,1168,146480196
448,1167,146480204
450,1164,146480214
479,1142,146480228
622,978,146480238
757,835,146480248
763,826,146480274
791,795,146480282
800,785,146480294
820,765,146480305
829,754,146480314
834,749,146480327
835,750,146480351
836,749,146480360
841,737,146480371
843,736,146480383
842,735,146480394
839,734,146480406
838,734,146480414
837,734,146480429
840,737,146480438
839,734,146480448
847,731,146480461
951,675,146480471
1042,601,146480481
1050,596,146480494
1052,595,146480507
1056,596,146480514
1059,596,146480527
1063,595,146480538
1073,600,146480553
1070,602,146480560
1073,603,146480571
1078,598,146480581
1072,604,146480593
1081,601,146480604
1102,591,146480629
1094,591,146480638
1095,590,146480647
1007,643,146480660
1023,626,146480671
953,660,146480681
871,697,146480708
844,708,146480714
812,723,146480727
803,726,146480739
806,727,146480747
739,756,146480760
726,759,146480771
724,759,146480785
726,766,146480793
728,769,146480805
729,771,146480815
728,769,146480826
723,780,146480838
701,803,146480847
638,846,146480860
595,878,146480871
583,887,146480881
567,897,146480893
557,904,146480907
549,911,146480914
506,940,146480926
506,940,146480954
500,947,146480960
500,946,146480971
500,944,146480984
499,945,146480993
536,946,146481004
539,946,146481014
535,942,146481029
540,931,146481037
552,928,146481047
576,905,146481060
594,887,146481071
604,878,146481080
679,804,146481108
701,780,146481114
725,755,146481126
721,758,146481137
721,757,146481147
732,761,146481159
736,762,146481185
748,769,146481193
754,772,146481204
768,779,146481216
768,779,146481226
759,776,146481237
765,764,146481247
905,665,146481263
913,659,146481270
937,645,146481281
947,630,146481293
954,624,146481304
996,596,146481314
991,594,146481341
979,598,146481347
976,601,146481359
976,605,146481372
979,607,146481381
973,603,146481392
975,604,146481404
974,610,146481419
975,609,146481426
967,610,146481437
966,610,146481450
966,610,146481459
971,618,146481470
976,626,146481495
978,593,146481504
979,611,146481514
973,617,146481541
850,702,146481547
843,707,146481559
830,719,146481572
826,725,146481581
809,746,146481593
804,756,146481619
789,785,146481626
788,783,146481637
789,784,146481650
760,787,146481659
