X Gaze Data, Y Gaze Data, Time 
892,397,145445680
929,448,145445689
931,452,145445699
934,455,145445711
937,459,145445722
939,462,145445733
944,468,145445744
945,470,145445757
945,472,145445766
944,471,145445777
945,470,145445804
945,471,145445819
945,471,145445828
945,471,145445836
944,471,145445844
944,471,145445855
945,471,145445866
945,470,145445885
945,469,145445900
945,474,145445912
945,475,145445929
945,474,145445951
944,475,145445958
944,476,145445980
945,477,145445996
945,478,145445999
943,475,145446027
942,460,145446032
943,351,145446045
943,348,145446055
943,346,145446065
943,342,145446080
944,336,145446090
944,329,145446099
944,318,145446111
946,318,145446122
946,318,145446136
946,319,145446144
947,319,145446155
947,318,145446167
947,318,145446177
946,318,145446188
946,317,145446213
947,318,145446222
948,319,145446232
947,320,145446259
946,319,145446266
945,318,145446278
946,317,145446290
945,317,145446298
945,316,145446310
945,316,145446322
945,316,145446332
945,316,145446344
945,316,145446355
945,316,145446369
946,316,145446378
946,316,145446388
947,316,145446401
948,316,145446411
948,316,145446422
948,316,145446433
948,316,145446444
947,316,145446455
947,317,145446480
948,317,145446489
948,317,145446499
946,317,145446527
944,317,145446532
943,316,145446558
918,254,145446565
911,224,145446577
908,213,145446588
906,207,145446604
904,197,145446610
903,190,145446622
902,184,145446635
899,182,145446644
897,181,145446655
898,181,145446665
898,180,145446680
898,181,145446688
898,181,145446698
898,180,145446710
898,180,145446727
899,181,145446731
900,183,145446757
901,184,145446765
900,184,145446777
901,184,145446803
900,186,145446810
899,186,145446821
899,186,145446835
898,186,145446843
900,189,145446854
900,189,145446867
901,188,145446877
901,188,145446888
901,188,145446899
900,187,145446910
899,187,145446921
899,187,145446946
899,188,145446954
899,187,145446965
899,186,145446977
899,186,145446988
900,186,145446998
900,186,145447010
901,186,145447023
901,186,145447032
901,186,145447044
901,185,145447055
901,185,145447070
903,185,145447077
903,185,145447088
903,186,145447102
902,187,145447110
902,187,145447121
903,187,145447134
903,188,145447143
904,188,145447155
904,188,145447165
904,189,145447180
901,191,145447188
901,191,145447198
901,192,145447211
902,192,145447221
901,192,145447231
902,192,145447243
902,194,145447255
901,194,145447265
902,194,145447277
900,193,145447288
899,193,145447304
899,193,145447310
899,193,145447321
900,195,145447335
901,198,145447343
901,200,145447354
901,200,145447365
900,201,145447381
901,201,145447388
901,200,145447398
901,200,145447412
901,199,145447421
900,198,145447431
900,199,145447443
900,199,145447459
901,200,145447465
901,200,145447477
901,200,145447490
901,201,145447498
901,201,145447510
900,201,145447521
901,201,145447537
902,200,145447543
903,200,145447554
902,200,145447568
902,200,145447576
903,198,145447588
902,198,145447599
902,197,145447610
902,197,145447621
902,197,145447631
902,198,145447645
902,198,145447654
903,200,145447665
903,201,145447677
903,201,145447692
903,201,145447698
903,200,145447710
903,199,145447723
904,198,145447731
905,198,145447743
905,199,145447754
905,199,145447770
904,200,145447777
904,200,145447788
904,199,145447801
905,199,145447810
910,200,145447821
928,202,145447832
931,202,145447843
935,202,145447854
937,201,145447864
938,201,145447878
939,201,145447887
939,201,145447897
939,201,145447924
939,201,145447931
941,202,145447943
941,203,145447955
942,204,145447964
943,204,145447976
945,205,145448003
946,205,145448009
946,205,145448021
945,205,145448034
945,205,145448043
945,206,145448054
945,206,145448064
945,205,145448081
943,205,145448087
943,206,145448112
943,209,145448121
942,210,145448131
941,210,145448143
940,210,145448159
942,211,145448164
942,211,145448190
