X Gaze Data, Y Gaze Data, Time 
835,379,143177773
827,384,143177785
829,385,143177797
833,387,143177807
840,392,143177818
842,393,143177829
852,400,143177840
867,410,143177851
867,410,143177861
872,412,143177873
872,412,143177885
868,407,143177909
854,394,143177918
848,392,143177928
832,389,143177940
830,386,143177951
828,386,143177961
826,383,143177987
828,383,143178003
826,386,143178007
823,387,143178026
822,387,143178036
819,387,143178048
821,386,143178068
821,386,143178079
820,385,143178092
820,386,143178113
831,373,143178118
832,373,143178128
834,372,143178140
834,371,143178151
834,371,143178176
826,385,143178185
826,385,143178194
825,381,143178208
828,375,143178218
828,375,143178227
828,375,143178240
825,378,143178253
825,378,143178261
826,378,143178273
825,378,143178285
823,375,143178294
822,371,143178306
820,369,143178332
827,374,143178339
830,374,143178351
831,374,143178363
825,371,143178373
828,366,143178385
828,366,143178394
832,358,143178406
834,360,143178418
835,361,143178427
832,363,143178440
827,367,143178451
828,368,143178461
828,369,143178473
827,376,143178487
822,389,143178494
820,397,143178506
798,440,143178519
797,441,143178527
794,446,143178540
796,444,143178551
796,447,143178565
797,447,143178573
797,447,143178584
803,450,143178596
812,458,143178606
813,458,143178617
811,457,143178627
804,453,143178639
805,455,143178651
806,455,143178660
816,462,143178675
815,462,143178684
812,462,143178694
809,462,143178720
789,463,143178727
785,467,143178739
792,468,143178766
780,460,143178773
778,460,143178784
778,459,143178798
779,459,143178806
780,458,143178817
779,459,143178827
774,457,143178839
774,456,143178851
774,455,143178862
768,455,143178878
775,457,143178893
776,458,143178894
777,453,143178908
780,452,143178920
782,452,143178927
799,458,143178939
806,460,143178951
811,461,143178960
824,468,143178987
812,460,143178996
805,469,143179006
797,470,143179018
797,470,143179027
793,468,143179039
791,463,143179051
791,462,143179065
791,460,143179072
794,461,143179083
793,462,143179096
792,464,143179106
788,464,143179117
788,464,143179142
781,471,143179152
781,471,143179160
781,470,143179172
781,470,143179184
781,468,143179193
781,466,143179220
780,468,143179227
781,465,143179239
779,461,143179252
776,460,143179260
773,456,143179272
773,458,143179298
774,460,143179305
773,460,143179317
773,460,143179326
771,462,143179339
774,462,143179350
774,461,143179361
773,462,143179372
774,461,143179383
774,461,143179408
775,458,143179417
775,458,143179427
776,459,143179454
779,464,143179460
780,469,143179474
781,473,143179485
781,474,143179500
780,474,143179506
777,472,143179532
775,469,143179540
777,468,143179550
779,469,143179562
782,462,143179572
782,461,143179583
781,460,143179608
781,464,143179617
782,464,143179627
785,466,143179639
790,464,143179650
792,464,143179660
792,465,143179672
791,470,143179686
791,471,143179693
787,473,143179705
786,473,143179717
786,473,143179732
785,471,143179738
784,466,143179750
789,470,143179763
815,490,143179772
802,478,143179784
802,479,143179795
802,481,143179805
796,482,143179816
795,482,143179826
795,485,143179839
797,487,143179850
796,487,143179860
789,483,143179874
787,483,143179883
787,483,143179893
787,483,143179905
789,484,143179921
790,482,143179926
791,474,143179953
792,480,143179960
793,483,143179972
801,485,143179984
802,485,143179999
804,484,143180005
804,485,143180017
820,495,143180030
818,493,143180038
820,493,143180050
822,493,143180061
826,493,143180071
836,493,143180083
837,492,143180093
838,485,143180105
840,484,143180117
840,480,143180140
852,481,143180150
850,480,143180159
840,475,143180172
836,474,143180183
832,476,143180193
831,476,143180219
835,476,143180226
832,475,143180238
835,474,143180250
835,474,143180266
837,476,143180271
835,475,143180296
835,475,143180305
831,470,143180319
