X Gaze Data, Y Gaze Data, Time 
921,431,145167747
921,430,145167760
921,428,145167770
920,428,145167780
919,427,145167792
918,427,145167805
918,426,145167814
918,425,145167825
919,424,145167851
921,423,145167859
921,422,145167870
922,420,145167883
922,419,145167896
920,415,145167904
920,415,145167915
918,414,145167925
917,414,145167937
916,413,145167951
915,413,145167961
915,415,145167970
914,415,145167983
914,415,145167997
915,415,145168017
919,414,145168033
918,415,145168034
919,414,145168045
919,413,145168048
921,413,145168059
921,413,145168074
921,412,145168080
920,412,145168092
921,412,145168103
920,412,145168114
920,412,145168126
919,413,145168152
919,411,145168159
918,410,145168170
919,409,145168184
919,408,145168193
918,407,145168203
918,407,145168214
919,408,145168225
920,408,145168236
919,407,145168247
920,407,145168259
920,406,145168270
924,406,145168280
922,406,145168292
921,403,145168303
921,403,145168314
919,402,145168325
918,403,145168339
916,404,145168347
916,404,145168358
915,404,145168385
914,403,145168392
915,404,145168403
914,404,145168416
916,406,145168425
917,406,145168437
917,406,145168462
915,406,145168470
915,405,145168480
914,405,145168492
914,403,145168503
914,402,145168514
914,402,145168525
915,402,145168537
915,402,145168547
915,403,145168559
915,403,145168571
916,403,145168580
916,403,145168592
916,405,145168603
917,405,145168614
917,406,145168625
917,407,145168636
917,407,145168649
916,409,145168659
914,410,145168670
913,411,145168680
913,411,145168695
914,412,145168703
914,412,145168713
914,412,145168727
914,412,145168736
915,412,145168746
915,411,145168759
916,411,145168770
915,412,145168780
915,412,145168792
915,412,145168803
914,412,145168813
915,411,145168825
918,410,145168836
918,411,145168852
920,409,145168863
920,409,145168883
920,408,145168884
920,408,145168892
920,408,145168903
919,407,145168915
918,406,145168925
919,406,145168937
919,406,145168947
918,407,145168958
915,408,145168970
915,409,145168980
915,409,145168993
916,409,145169003
916,409,145169013
917,409,145169025
916,410,145169036
916,410,145169046
917,412,145169058
918,413,145169069
917,413,145169085
917,414,145169091
917,416,145169103
917,416,145169113
917,416,145169124
918,416,145169136
918,416,145169146
918,416,145169158
918,415,145169170
918,415,145169194
917,414,145169195
918,413,145169202
918,413,145169213
918,413,145169225
918,414,145169236
918,414,145169247
918,414,145169258
917,414,145169270
917,414,145169280
918,413,145169291
918,412,145169317
919,410,145169325
917,415,145169336
917,418,145169348
917,419,145169358
917,419,145169369
918,418,145169380
920,418,145169395
922,419,145169403
922,418,145169413
922,418,145169425
922,418,145169436
922,418,145169447
922,418,145169458
919,418,145169473
918,418,145169480
917,418,145169491
916,418,145169504
915,419,145169513
914,419,145169525
912,419,145169550
889,430,145169558
886,432,145169569
885,432,145169581
884,432,145169591
882,432,145169603
881,432,145169613
875,434,145169627
875,435,145169636
873,436,145169646
873,436,145169659
872,437,145169669
871,437,145169679
871,437,145169691
868,435,145169705
868,435,145169713
868,435,145169724
868,436,145169737
869,436,145169746
869,435,145169758
870,437,145169783
870,437,145169784
870,438,145169791
871,440,145169802
872,440,145169815
873,440,145169824
873,439,145169835
872,440,145169846
872,440,145169857
872,439,145169869
872,439,145169879
873,439,145169892
873,439,145169902
873,439,145169913
873,440,145169924
876,441,145169938
876,441,145169946
876,441,145169958
877,440,145169970
875,440,145169979
875,440,145169991
874,441,145170002
875,441,145170016
874,441,145170024
874,440,145170036
873,440,145170047
873,441,145170058
873,442,145170069
872,443,145170095
868,445,145170102
867,444,145170113
869,443,145170140
870,444,145170146
870,447,145170171
